진료년도,시도,시군구,성별,연령구분,환자수,입내원일수,요양급여비용
2018,서울,마포구,남,90~99세,15,240,15110880
2018,서울,마포구,남,100세 이상,0,0,0
2018,서울,마포구,여,0~9세,0,0,0
2018,서울,마포구,여,10~19세,0,0,0
2018,서울,마포구,여,20~29세,0,0,0
2018,서울,마포구,여,30~39세,0,0,0
2018,서울,마포구,여,40~49세,0,0,0
2018,서울,마포구,여,50~59세,0,0,0
2018,서울,마포구,여,60~69세,43,476,27895110
2018,서울,마포구,여,70~79세,153,1873,102687470
2018,서울,마포구,여,80~89세,269,5011,309140680
2018,서울,마포구,여,90~99세,86,2629,169183550
2018,서울,마포구,여,100세 이상,11,414,29392750
2018,서울,서대문구,남,0~9세,0,0,0
2018,서울,서대문구,남,10~19세,0,0,0
2018,서울,서대문구,남,20~29세,0,0,0
2018,서울,서대문구,남,30~39세,0,0,0
2018,서울,서대문구,남,40~49세,10,33,5303930
2018,서울,서대문구,남,50~59세,20,194,17389130
2018,서울,서대문구,남,60~69세,106,846,82008480
2018,서울,서대문구,남,70~79세,426,2593,248338300
2018,서울,서대문구,남,80~89세,373,4958,403537970
2018,서울,서대문구,남,90~99세,44,994,67383130
2018,서울,서대문구,남,100세 이상,0,0,0
2018,서울,서대문구,여,0~9세,0,0,0
2018,서울,서대문구,여,10~19세,0,0,0
2018,서울,서대문구,여,20~29세,0,0,0
2018,서울,서대문구,여,30~39세,0,0,0
2018,서울,서대문구,여,40~49세,0,0,0
2018,서울,서대문구,여,50~59세,42,150,17622710
2018,서울,서대문구,여,60~69세,165,537,70126250
2018,서울,서대문구,여,70~79세,647,4708,452476120
2018,서울,서대문구,여,80~89세,813,16358,1264301620
2018,서울,서대문구,여,90~99세,164,6381,490084210
2018,서울,서대문구,여,100세 이상,0,0,0
2018,서울,성동구,남,0~9세,0,0,0
2018,서울,성동구,남,10~19세,0,0,0
2018,서울,성동구,남,20~29세,0,0,0
2018,서울,성동구,남,30~39세,0,0,0
2018,서울,성동구,남,40~49세,0,0,0
2018,서울,성동구,남,50~59세,14,103,11428310
2018,서울,성동구,남,60~69세,69,263,20970810
2018,서울,성동구,남,70~79세,268,1778,158787450
2018,서울,성동구,남,80~89세,229,3441,269181540
2018,서울,성동구,남,90~99세,37,434,32972310
2018,서울,성동구,남,100세 이상,0,0,0
2018,서울,성동구,여,0~9세,0,0,0
2018,서울,성동구,여,10~19세,0,0,0
2018,서울,성동구,여,20~29세,0,0,0
2018,서울,성동구,여,30~39세,0,0,0
2018,서울,성동구,여,40~49세,0,0,0
2018,서울,성동구,여,50~59세,30,165,16367400
2018,서울,성동구,여,60~69세,116,453,33788100
2018,서울,성동구,여,70~79세,461,4278,339102870
2018,서울,성동구,여,80~89세,663,11775,877206790
