년도,시도,시군구,성별,환자수,입내원일수,요양급여비용
2018, 울산 , 울산울주군 , 여 ,978,127018,9207832340
2018, 경기 , 가평군 , 남 ,217,2256,203683650
2018, 경기 , 가평군 , 여 ,372,2329,223323150
2018, 경기 , 양평군 , 남 ,605,10165,670560130
2018, 경기 , 양평군 , 여 ,1398,32031,2014110520
2018, 경기 , 연천군 , 남 ,163,1288,61259920
2018, 경기 , 연천군 , 여 ,376,2686,123011370
2018, 경기 , 광명시 , 남 ,716,8010,579434620
2018, 경기 , 광명시 , 여 ,1420,22813,1551822920
2018, 경기 , 동두천시 , 남 ,563,35411,2539961820
2018, 경기 , 동두천시 , 여 ,1289,85475,6112018700
2018, 경기 , 부천시 , 남 ,2609,109996,8479616590
2018, 경기 , 부천시 , 여 ,6652,314491,23267151110
2018, 경기 , 성남수정구 , 남 ,319,12595,917646580
2018, 경기 , 성남수정구 , 여 ,670,22815,1653221700
2018, 경기 , 성남중원구 , 남 ,432,8092,559801960
2018, 경기 , 성남중원구 , 여 ,1069,30468,2145899020
2018, 경기 , 성남분당구 , 남 ,2104,21337,1838815600
2018, 경기 , 성남분당구 , 여 ,4882,53855,4303165180
2018, 경기 , 수원권선구 , 남 ,198,4902,340508970
2018, 경기 , 수원권선구 , 여 ,538,12595,865905560
2018, 경기 , 수원장안구 , 남 ,1067,17483,1203503850
2018, 경기 , 수원장안구 , 여 ,2871,66464,4386242610
2018, 경기 , 수원팔달구 , 남 ,1374,18472,1403344540
2018, 경기 , 수원팔달구 , 여 ,3178,56098,4043312800
2018, 경기 , 수원영통구 , 남 ,839,12922,982041190
2018, 경기 , 수원영통구 , 여 ,2073,38109,2712769020
2018, 경기 , 안양만안구 , 남 ,1073,13763,1031057380
2018, 경기 , 안양만안구 , 여 ,2916,50059,3613120480
2018, 경기 , 안양동안구 , 남 ,545,8073,644510120
2018, 경기 , 안양동안구 , 여 ,1198,21609,1711402260
2018, 경기 , 의정부시 , 남 ,1730,21881,1542484300
2018, 경기 , 의정부시 , 여 ,3701,49655,3148760380
2018, 경기 , 과천시 , 남 ,29,119,3101640
2018, 경기 , 과천시 , 여 ,81,259,7841890
2018, 경기 , 구리시 , 남 ,877,10575,805754360
2018, 경기 , 구리시 , 여 ,2299,35146,2613546220
2018, 경기 , 안산단원구 , 남 ,974,26214,1867125750
2018, 경기 , 안산단원구 , 여 ,2760,127845,9199346900
2018, 경기 , 안산상록구 , 남 ,613,16948,1179865740
